Date,Category,Device,Clicks,Cost,Sales,Order value,Tracked leads,Cost of tracked leads
1/3/2022,Links,Computer,62,27.9,0,0,62,27.9
1/3/2022,Links,Mobile,104,46.8,0,0,104,46.8
1/3/2022,Herrenmode,Computer,4,1.8,0,0,4,1.8
1/3/2022,Herrenmode,Mobile,1,0.3375,0,0,1,0.3375
1/3/2022,Damenmode,Computer,8,3.6,0,0,8,3.6
1/3/2022,Damenmode,Mobile,3,1.0125,0,0,3,1.0125
1/3/2022,Herrenunterwäsche,Computer,1,0.45,0,0,1,0.45
1/3/2022,Herrenunterwäsche,Mobile,4,1.35,0,0,4,1.35
1/3/2022,Sportbekleidung Damen,Computer,20,9,0,0,20,9
1/3/2022,Sportbekleidung Damen,Mobile,5,1.6875,0,0,5,1.6875
1/3/2022,Sportbekleidung Herren,Computer,259,116.55,0,0,259,116.55
1/3/2022,Sportbekleidung Herren,Mobile,19,6.4125,0,0,19,6.4125
1/3/2022,Fahrradteile & Fahrradzubehör,Computer,2,0.9,0,0,2,0.9
1/3/2022,Fahrradteile & Fahrradzubehör,Mobile,2,0.675,0,0,2,0.675
1/3/2022,Sportschuhe Herren,Computer,1,0.45,0,0,1,0.45
2/3/2022,Links,Computer,41,18.45,0,0,41,18.45
2/3/2022,Links,Mobile,77,34.65,0,0,77,34.65
2/3/2022,Herrenmode,Computer,2,0.9,0,0,2,0.9
2/3/2022,Herrenmode,Mobile,2,0.675,0,0,2,0.675
2/3/2022,Damenmode,Computer,5,2.25,0,0,5,2.25
2/3/2022,Damenmode,Mobile,1,0.3375,0,0,1,0.3375
2/3/2022,Herrenunterwäsche,Computer,2,0.9,0,0,2,0.9
2/3/2022,Herrenunterwäsche,Mobile,3,1.0125,0,0,3,1.0125
2/3/2022,Sonnenbrillen,Computer,5,2.25,0,0,5,2.25
2/3/2022,Sonnenbrillen,Mobile,2,0.675,0,0,2,0.675
2/3/2022,Sportbekleidung Damen,Computer,17,7.65,0,0,17,7.65
2/3/2022,Sportbekleidung Damen,Mobile,14,4.725,0,0,14,4.725
2/3/2022,Sportbekleidung Herren,Computer,240,108,0,0,240,108
2/3/2022,Sportbekleidung Herren,Mobile,60,20.25,0,0,60,20.25
2/3/2022,Fahrradteile & Fahrradzubehör,Computer,3,1.35,0,0,3,1.35
2/3/2022,Fahrradteile & Fahrradzubehör,Mobile,1,0.3375,0,0,1,0.3375
2/3/2022,Sportschuhe Herren,Computer,4,1.8,0,0,4,1.8
2/3/2022,Sportschuhe Herren,Mobile,1,0.3375,0,0,1,0.3375
3/3/2022,Links,Computer,45,20.25,0,0,45,20.25
3/3/2022,Links,Mobile,41,18.45,0,0,41,18.45
3/3/2022,Herrenmode,Computer,5,2.25,0,0,5,2.25
3/3/2022,Damenmode,Computer,4,1.8,0,0,4,1.8
3/3/2022,Damenmode,Mobile,2,0.675,0,0,2,0.675
3/3/2022,Herrenunterwäsche,Computer,5,2.25,0,0,5,2.25
3/3/2022,Herrenunterwäsche,Mobile,3,1.0125,0,0,3,1.0125
3/3/2022,Sonnenbrillen,Mobile,1,0.3375,0,0,1,0.3375
3/3/2022,Sportbekleidung Damen,Computer,18,8.1,0,0,18,8.1
3/3/2022,Sportbekleidung Damen,Mobile,9,3.0375,0,0,9,3.0375
3/3/2022,Sportbekleidung Herren,Computer,236,106.2,0,0,236,106.2
3/3/2022,Sportbekleidung Herren,Mobile,39,13.1625,0,0,39,13.1625
3/3/2022,Fahrradteile & Fahrradzubehör,Computer,4,1.8,0,0,4,1.8
3/3/2022,Fahrradteile & Fahrradzubehör,Mobile,3,1.0125,0,0,3,1.0125
3/3/2022,Sportschuhe Herren,Computer,2,0.9,0,0,2,0.9
3/3/2022,Sportschuhe Herren,Mobile,1,0.3375,0,0,1,0.3375
4/3/2022,Links,Computer,48,21.6,0,0,48,21.6
4/3/2022,Links,Mobile,58,26.1,0,0,58,26.1
4/3/2022,Herrenmode,Mobile,5,1.6875,0,0,5,1.6875
4/3/2022,Damenmode,Computer,3,1.35,0,0,3,1.35
4/3/2022,Damenmode,Mobile,6,2.025,0,0,6,2.025
4/3/2022,Herrenunterwäsche,Computer,1,0.45,0,0,1,0.45
4/3/2022,Herrenunterwäsche,Mobile,1,0.3375,0,0,1,0.3375
4/3/2022,Sonnenbrillen,Computer,1,0.45,0,0,1,0.45
4/3/2022,Sonnenbrillen,Mobile,0,0,1,172.27,0,0
4/3/2022,Sportbekleidung Damen,Computer,9,4.05,0,0,9,4.05
